UserIncome,UserHousingExpense,HouseholdSize,UserPhoneBill,CurrentSavingsAmount,CurrentEmergencyFund,UserEntertainmentExpense,UserFoodExpense,UserHealthInsuranceCost,UserCarInsuranceCost,UserRentInsuranceCost,UserEducationCost,UserLifeInsuranceCost,GoNegative,AISuggestedSavingsDeposit,AISuggestedEmergencyDeposit,UserFuelCost,medianIncomeForCounty,AverageIncomeForArea,MedianGrossRent,Average1Bdr,Average2Bdr,Average3Bdr,AverageTotalUtilityBills,AveragePhoneBill,AverageInternetBill,AverageMinimumHouseholdSize,AverageMaximumHouseholdSize,AverageEntertainmentExpense,AverageFoodBill1Person,AverageFoodBill4People,AverageFuelCost,AverageCarInsurance,AverageHealthInsuranceCost,AverageEducationCost,AverageChildcareCost,AverageRentInsuranceCost,AverageLifeInsuranceCost
2460,1120,1,86,1259,0.0,1331,1105,160,98,7,0,36,False,123.0,123.0,72,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
4848,2156,2,102,414,0.0,1468,944,152,84,27,0,20,True,0.0,0.0,98,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
4221,873,1,86,1292,0.0,161,767,259,166,26,0,28,False,211.05,211.05,111,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
3958,1828,4,384,1767,0.0,1343,973,136,116,35,549,22,False,197.9,197.9,58,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
4767,1242,2,124,5647,0.0,1128,508,476,41,13,0,23,False,238.35000000000002,238.35000000000002,23,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
5480,1178,3,162,161,0.0,242,1150,237,21,11,0,25,False,274.0,274.0,13,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2546,2076,2,96,446,0.0,910,1272,548,145,13,0,32,False,127.30000000000001,127.30000000000001,62,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
4928,1604,4,244,4336,0.0,701,789,976,32,20,0,22,False,246.4,246.4,42,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2443,1225,2,134,5291,2443.0,1231,836,740,81,15,0,27,False,122.15,122.15,18,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
3154,1190,3,261,1615,0.0,944,861,435,34,15,0,20,False,157.70000000000002,157.70000000000002,93,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
5837,1124,1,62,5424,1459.25,1411,1006,212,85,4,500,15,False,291.85,291.85,4,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
1779,1320,3,219,1899,444.75,74,926,636,118,22,323,31,False,88.95,88.95,67,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
1613,1421,2,102,1113,403.25,107,943,468,149,9,0,36,False,80.65,80.65,100,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
3909,1274,3,207,4432,0.0,866,1208,204,66,1,0,24,True,0.0,0.0,10,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
3823,1167,4,288,3510,0.0,1360,1074,1408,115,8,0,22,False,191.15,191.15,107,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
1671,2549,4,356,3635,417.75,541,921,1332,49,35,0,28,False,83.55000000000001,83.55000000000001,74,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
1802,934,1,90,2211,450.5,598,1218,160,143,22,431,17,False,90.10000000000001,90.10000000000001,88,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
1554,1421,2,100,267,1554.0,295,1054,18,177,26,0,36,False,77.7,77.7,13,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
3470,911,1,58,3478,0.0,807,583,361,102,12,0,32,False,173.5,173.5,90,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2709,894,1,94,146,677.25,387,686,239,73,7,0,33,False,135.45000000000002,135.45000000000002,73,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
3864,1384,4,352,645,966.0,974,574,100,107,28,0,28,False,193.20000000000002,193.20000000000002,38,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
5203,2409,1,63,373,0.0,292,1125,192,59,27,0,25,False,260.15000000000003,260.15000000000003,38,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
3146,1138,2,102,5467,786.5,306,1077,610,141,27,0,30,False,157.3,157.3,54,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2210,806,2,110,2541,1657.5,897,987,724,177,16,0,35,False,110.5,110.5,96,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
5796,1355,1,73,3125,5796.0,1163,638,227,141,31,0,16,False,289.8,289.8,19,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
3676,819,1,55,550,3676.0,1459,1157,286,25,7,0,35,True,0.0,0.0,6,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2499,842,1,76,5462,0.0,30,526,157,68,28,580,24,False,124.95,124.95,40,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
5984,1177,3,165,5996,0.0,676,528,381,102,17,0,16,False,299.2,299.2,45,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2140,980,2,150,140,0.0,217,577,518,47,34,0,35,False,107.0,107.0,113,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2375,2128,4,364,4455,0.0,880,1034,908,26,23,0,23,False,118.75,118.75,58,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2193,895,2,176,5524,0.0,1259,900,302,132,36,0,17,False,109.65,109.65,10,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
4759,1183,1,55,1492,1189.75,956,496,409,177,23,0,34,False,237.95000000000002,237.95000000000002,16,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2564,914,1,57,3853,0.0,739,1103,274,33,29,340,35,False,128.20000000000002,128.20000000000002,74,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2653,1319,1,53,3088,0.0,158,767,367,126,35,0,23,True,0.0,0.0,106,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
4579,852,3,255,3541,1144.75,1235,492,144,132,0,0,19,False,228.95000000000002,228.95000000000002,4,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
5969,2191,3,246,4907,0.0,1395,554,561,150,0,0,31,False,298.45,298.45,84,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
4032,1154,4,376,4838,0.0,873,536,200,91,23,0,16,False,201.60000000000002,201.60000000000002,96,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
5532,933,3,279,5266,0.0,1334,635,1242,45,0,0,16,False,276.6,276.6,89,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
2824,883,4,188,1069,0.0,977,676,812,99,28,0,25,False,141.20000000000002,141.20000000000002,0,3478,4690,2150,1300,2100,3000,258,49,61,1,4,418,524,1385,200,212,1465,1316,671.67,18,26
